codigo,descripcion,capitulo,grupo,categoria_codigo,categoria_descripcion,nivel,activo,linea_origen
A00,COLERA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,CATEGORIA,1,5
A000,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,6
A001,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,7
A009,"COLERA, NO ESPECIFICADO",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,8
A0090,SOSPECHOSO DE COLERA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,9
A0091,SOSPECHOSO DE COLERA NO ESPECIFICADO SIN DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,10
A0092,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,11
A0093,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION CON SHOCK,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A00,COLERA,SUBCATEGORIA,1,12
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,CATEGORIA,1,13
A010,FIEBRE TIFOIDEA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,14
A0109,FIEBRE TIFOIDEA CON DIARREA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,15
A011,FIEBRE PARATIFOIDEA A,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,16
A012,FIEBRE PARATIFOIDEA B,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,17
A013,FIEBRE PARATIFOIDEA C,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,18
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,19
A0141,FIEBRE PARATIFOIDEA NO ESPECIFICADA CON DIARREA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,SUBCATEGORIA,1,20
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,CATEGORIA,1,21
A020,ENTERITIS DEBIDA A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,22
A021,SEPSIS DEBIDA A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,23
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,24
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,25
A029,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,SUBCATEGORIA,1,26
A03,SHIGELOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,CATEGORIA,1,27
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,28
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,29
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,30
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,31
A038,OTRAS SHIGELOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,32
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A03,SHIGELOSIS,SUBCATEGORIA,1,33
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,CATEGORIA,1,34
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,35
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,36
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,37
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,38
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,39
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,40
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,41
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,42
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,43
A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SUBCATEGORIA,1,44
A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,CATEGORIA,1,45
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,46
A051,BOTULISMO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,47
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,48
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,49
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,50
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,51
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,SUBCATEGORIA,1,52
A06,AMEBIASIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,CATEGORIA,1,53
A060,DISENTERIA AMEBIANA AGUDA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,54
A061,AMEBIASIS INTESTINAL CRONICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,55
A062,COLITIS AMEBIANA NO DISENTERICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,56
A063,AMEBOMA INTESTINAL,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,57
A064,ABSCESO AMEBIANO DEL HIGADO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,58
A065,ABSCESO AMEBIANO DEL PULMON,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,59
A066,ABSCESO AMEBIANO DEL CEREBRO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,60
A067,AMEBIASIS CUTANEA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,61
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,62
A069,"AMEBIASIS, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A06,AMEBIASIS,SUBCATEGORIA,1,63
A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,CATEGORIA,1,64
A070,BALANTIDIASIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,65
A071,GIARDIASIS [LAMBLIASIS],CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,66
A072,CRIPTOSPORIDIOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,67
A073,ISOSPORIASIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,68
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,69
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,70
A0793,COLITIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SUBCATEGORIA,1,71
A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,CATEGORIA,1,72
A080,ENTERITIS DEBIDA A ROTAVIRUS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,73
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,74
A082,ENTERITIS DEBIDA A ADENOVIRUS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,75
A083,OTRAS ENTERITIS VIRALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,76
A084,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,77
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SUBCATEGORIA,1,78
A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,CATEGORIA,1,79
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,80
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,81
A09X,INFECCIONES INTESTINALES DEBIDAS A OTROS ORGANISMOS SIN ESPECIFICAR,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,82
A09X0,"DIARREA ACUOSA INCLUYE COLITIS, ENTERITIS, ENTEROCOLITIS, GASTROENTERITIS Y GASTROENTEROCOLITIS",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,83
A09X1,ENFERMEDAD DIARREICA ACUOSA SIN DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,84
A09X2,ENFERMEDAD DIARREICA ACUOSA CON DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,85
A09X3,ENFERMEDAD DIARREICA ACUOSA CON DESHIDRATACION CON SHOCK,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,86
A09X4,ENFERMEDAD DIARREICA DISENTERICA SIN DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,87
A09X5,ENFERMEDAD DIARREICA DISENTERICA CON DESHIDRATACION,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,88
A09X6,ENFERMEDAD DIARREICA PERSISTENTE,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,89
A09X7,DIARREA DISENTERICA,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,90
A09X8,ENFERMEDAD DIARREICA DISENTERICA CON DESHIDRATACION CON SHOCK,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SUBCATEGORIA,1,91
A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,(A15 - A19) TUBERCULOSIS,A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",CATEGORIA,1,93
